part description,part number,part MO inventory,part GG inventory
16047VPERSONAL WATERCRAFT KIT,16042,7,2
169010VFUEL PUMP KIT,16063,15,1
18009A AND OBSOLETE 18009,18009,40,2
AG/IND CARB KIT MS-1,778-505A,0,0
AG/INDUSTRIAL KIT,16034,3,1
AGRI/INDUSTRIAL KIT (INT HARV),778-605,17,20
AGRI/INDUSTRIAL KIT (MS-1),778-506,0,6
AGRI/INDUSTRIAL KIT (MS-1),778-508,59,5
AGRI/INDUSTRIAL KIT (MS-1),778-515,99,5
AGRI/INDUSTRIAL KIT (MS-1),778-602,0,5
AGRI/INDUSTRIAL KIT (MS-DLTX?),778-501,26,3
AGRI/INDUSTRIAL KIT (S-2),778-614,18,5
AGRI/INDUSTRIAL KIT (Z-1),778-607,68,2
AGRI/INDUSTRIAL KIT (Z-1),778-608,16,23
AGRI/INDUSTRIAL KIT (Z-1),778-610,29,5
AGRI/INDUSTRIAL KIT (Z-1),778-611,0,4
AGRI/INDUSTRIAL KIT (Z-1),778-612,14,2
AGRI/INDUSTRIAL KIT (Z-1),778-615A,99,39
AGRI/INDUSTRIAL KIT (ZENITH),16009,11,5
AGRI/INDUSTRIAL KIT (ZENITH),16016,4,5
AGRICULTURAL & INDUSTRIAL KIT,15942A,28,4
AGRICULTURAL & INDUSTRIAL KIT,16012,3,8
AGRICULTURAL & INDUSTRIAL KIT,778-613,17,4
AGRICULTURAL & INDUSTRIAL KIT,778-616,33,3
BAGGED COMPONENTS,90-185P,24,1
BAGGED COMPONENTS,90-203P,7,1
BOARD MARINE KIT (R-2),19029,43,41
BRASS CARBURETOR FLOAT,100-122,99,0
BRASS CARBURETOR FLOAT,100-27,99,0
BRASS CARBURETOR FLOAT,100-35,99,0
BRASS CARBURETOR FLOAT,100-36,99,0
BRASS CARBURETOR FLOAT,100-43,99,0
BRASS CARBURETOR FLOAT,100-50,99,0
BRASS CARBURETOR FLOAT,100-54,76,0
BRASS CARBURETOR FLOAT,100-94,0,0
BUNG CURVED,90-208SS,99,99
BUNG INSERT KIT O2 SENSOR,88-833,24,3
BUNG KIT,WPA-105,9,17
BUNG KIT STAINLESS STEEL,WPA-105SS,46,21
BUNG PLUG O2 SENSOR 18MM SS,90-185SS,99,99
BUNG REPAIR KIT O2 SENSOR,88-832,1,1
BUNG O2  SENSOR SS 12MM (STEPPED),90-187SS,99,99
BUNG O2  SENSOR SS 18 M,90-199SS,99,99
BUNG O2  SENSOR SS 18MM,90-164SS,99,99
BUNG O2  SENSOR SS 18MM (1"),90-195SS,99,99
BUNG O2  SENSOR SS 18MM (1") CURVE,90-195SS-C,99,99
BUNG O2  SENSOR SS 18MM (ANGLED),90-190SS,99,99
BUNG O2  SENSOR SS 18MM (STEPPED),90-184SS,99,74
BUNG O2  SENSOR SS 18MM CURVE,90-164SS-C,99,20
BUNG O2 SENSOR  12MM,90-189,99,99
BUNG O2 SENSOR  12MM,90-189SS,99,99
BUNG O2 SENSOR  12MM 5 PCS.,90-189SSP,36,48
BUNG O2 SENSOR  5 PCS.,90-184P,0,0
BUNG O2 SENSOR  SS 10MM (STEPPED),90-186SS,99,99
BUNG O2 SENSOR (ANGLE RADIUS),90-206SS-C,0,0
BUNG O2 SENSOR 10MM (STEPPED),90-186,72,99
BUNG O2 SENSOR 12MM (STEPPED),90-187,99,99
BUNG O2 SENSOR 18 MM (1/2),90-199,99,80
BUNG O2 SENSOR 18MM,90-164,99,99
BUNG O2 SENSOR 18MM (1"),90-195,99,99
BUNG O2 SENSOR 18MM (ANGLED),90-190,99,99
BUNG O2 SENSOR 18MM (PLUG),90-185,0,10
BUNG O2 SENSOR 18MM (STEPPED),90-184,99,94
BUNG O2 SENSOR 18MM (STEPPED),90-211,99,99
BUNG O2 SENSOR 5 PCS.,90-164SSP,0,5
BUNG O2 SENSOR 5 PCS.,90-186P,4,1
BUNG O2 SENSOR CUSTOM,90-212,17,46
BUNG O2 SENSOR SS RADIUS,90-207SS-C,99,99
CAM/CRANKSHAFT POSITION SENSOR,235-1032,0,1
CAM/CRANKSHAFT POSITION SENSOR,235-1224,99,7
CAM/CRANKSHAFT POSITION SENSOR,235-1297,5,1
CAM/CRANKSHAFT POSITION SENSOR,235-1303,99,6
CAM/CRANKSHAFT POSITION SENSOR,235-1304,52,3
CAMSHAFT POSITION SENSOR,235-1000,43,28
CAMSHAFT POSITION SENSOR,235-1001,42,8
CAMSHAFT POSITION SENSOR,235-1002,0,0
CAMSHAFT POSITION SENSOR,235-1003,0,0
CAMSHAFT POSITION SENSOR,235-1004,51,3
CAMSHAFT POSITION SENSOR,235-1005,68,3
CAMSHAFT POSITION SENSOR,235-1027,37,2
CAMSHAFT POSITION SENSOR,235-1028,99,5
CAMSHAFT POSITION SENSOR,235-1029,99,4
CAMSHAFT POSITION SENSOR,235-1035,73,3
CAMSHAFT POSITION SENSOR,235-1038,0,3
CAMSHAFT POSITION SENSOR,235-1039,0,3
CAMSHAFT POSITION SENSOR,235-1040,35,4
CAMSHAFT POSITION SENSOR,235-1041,0,1
CAMSHAFT POSITION SENSOR,235-1042,96,4
CAMSHAFT POSITION SENSOR,235-1043,48,2
CAMSHAFT POSITION SENSOR,235-1050,0,1
CAMSHAFT POSITION SENSOR,235-1051,84,4
